keys,es
combat_good_timing,"¡Bien!"
combat_ok_timing,"OK"
combat_miss_timing,"¡Fallado!"
combat_beat_indicator,"Pulso"
combat_rhythm_hint,"¡Pulsa en el ritmo!"
combat_brio_label,"Brío"
combat_vit_label,"VIT"

# Shop
shop_welcome,"¡Bienvenido a mi tienda!"
shop_farewell,"¡Vuelve cuando quieras!"
shop_buy,"Comprar"
shop_sell,"Vender"
shop_cannot_afford,"¡No tienes suficientes Bits!"
shop_inventory_full,"¡Inventario lleno!"
shop_confirm_purchase,"¿Comprar %s por %d Bits?"
shop_items,"Objetos"
shop_techniques,"Técnicas"
shop_upgrades,"Mejoras"
shop_bits_label,"Bits: %d"

# Items
item_type_rhythm,"Ritmo"
item_type_vit,"Vitalidad"
item_type_brio,"Brío"
item_use,"Usar"
item_discard,"Descartar"
item_description_separator," — "

# Techniques
technique_type_rhythm,"Ritmo"
technique_type_attack,"Ataque"
technique_type_multi_attack,"Multiataque"
technique_type_heal,"Curación"
technique_inputs_label,"Entradas: "

# Upgrades
upgrade_type_max_vit,"Vitalidad Máxima"
upgrade_type_max_brio,"Brío Máximo"
upgrade_type_attack,"Poder de Ataque"
upgrade_type_defense,"Defensa"
upgrade_type_item_drop_rate,"Tasa Objetos"
upgrade_type_input_window,"Ventana Entrada"
upgrade_type_bits_reward,"Recompensa Bits"
upgrade_purchase_confirm,"¿Comprar %s por %d Bits?"
upgrade_already_owned,"Ya poseído"

# Enemies
enemy_shronk,"Shronk"
enemy_pomaphus,"Pomaphus"
enemy_lumino,"Lumino"
enemy_ancient_pomaphus,"Pomaphus Ancestral"

# Game Over / Victory
game_over_title,"Game Over"
game_over_retry,"Reintentar"
game_over_quit,"Salir al Menú"
pause_abandon_run,"Abandonar Partida"
victory_title,"¡Planta Superada!"
victory_rewards,"Recompensas Obtenidas:"
victory_bits_gained,"Bits ganados: %d"
victory_item_found,"Encontrado: %s"
victory_technique_learned,"Técnica aprendida: %s"
victory_upgrade_gained,"Mejora obtenida: %s"
victory_continue,"Continuar"

# Pause Menu
pause_title,"Pausa"
pause_resume,"Reanudar"
pause_settings,"Ajustes"
pause_quit,"Salir al Menú"

# Accessibility / Hints
hint_rhythm_gameplay,"Pulsa los botones al ritmo de la música para maximizar la efectividad."
hint_dodge_gameplay,"Cambia de carril para esquivar los proyectiles enemigos al compás."
hint_brio_system,"El Brío potencia las técnicas. Acumúlalo atacando al ritmo."
hint_map_navigation,"Elige tu camino con cuidado. No todos los nodos conectan."
hint_color_palettes,"Desbloquea paletas de colores alcanzando hitos."

# Items
item_metronome,"Metrónomo"
item_metronome_desc,"Mejora ligeramente la ventana de tiempo"
item_metronome_comment,"Un clic constante mantiene el ritmo verdadero"
item_tuning_fork,"Diapasón"
item_tuning_fork_desc,"Mejora significativamente la ventana de tiempo"
item_tuning_fork_comment,"Resuena con la música del combate"
item_rhythm_potion,"Poción de Ritmo"
item_rhythm_potion_desc,"Mejora enormemente la ventana de tiempo"
item_rhythm_potion_comment,"Tempo líquido en una botella"
item_small_vit,"Poción Pequeña de VIT"
item_small_vit_desc,"Restaura 25 VIT"
item_small_vit_comment,"Un sorbo de vitalidad"
item_medium_vit,"Poción Mediana de VIT"
item_medium_vit_desc,"Restaura 50 VIT"
item_medium_vit_comment,"Un trago generoso"
item_large_vit,"Poción Grande de VIT"
item_large_vit_desc,"Restaura 100 VIT"
item_large_vit_comment,"Desbordante de vida"
item_full_vit,"Elixir Completo de VIT"
item_full_vit_desc,"Restaura toda la VIT"
item_full_vit_comment,"El restaurador definitivo"
item_small_brio,"Tónico Pequeño de BRÍO"
item_small_brio_desc,"Restaura 20 BRÍO"
item_small_brio_comment,"Una chispa de inspiración"
item_medium_brio,"Tónico Mediano de BRÍO"
item_medium_brio_desc,"Restaura 50 BRÍO"
item_medium_brio_comment,"Fluyendo con ritmo"
item_large_brio,"Tónico Grande de BRÍO"
item_large_brio_desc,"Restaura 100 BRÍO"
item_large_brio_comment,"Un crescendo en un frasco"
item_brio_elixir,"Elixir de BRÍO"
item_brio_elixir_desc,"Restaura todo el BRÍO"
item_brio_elixir_comment,"Improvisación infinita"
item_symphony_draught,"Breve de Sinfonía"
item_symphony_draught_desc,"Mejora enormemente la ventana de tiempo y restaura 50 BRÍO"
item_symphony_draught_comment,"Armonía destilada"
item_crescendo_tonic,"Tónico de Crescendo"
item_crescendo_tonic_desc,"Restaura 150 VIT y 50 BRÍO"
item_crescendo_tonic_comment,"Construyendo hacia un clímax"
item_fortissimo_essence,"Esencia de Fortissimo"
item_fortissimo_essence_desc,"Restaura 50 VIT y 150 BRÍO"
item_fortissimo_essence_comment,"Fuerte y orgulloso"
item_maestro_elixir,"Elixir del Maestro"
item_maestro_elixir_desc,"Ventana de tiempo perfecta y restaura toda la VIT y BRÍO"
item_maestro_elixir_comment,"El secreto del director"

# Techniques
tech_rhythmic_strike,"Golpe Rítmico"
tech_syncopated_slash,"Tajo Sincopado"
tech_double_beat,"Doble Pulso"
tech_triplet_assault,"Asalto de Tresillo"
tech_healing_chorus,"Coro Curativo"
tech_vital_hymn,"Himno Vital"
tech_perfect_tempo,"Tempo Perfecto"
tech_offbeat_parry,"Parada en Contratiempo"
tech_crescendo_strike,"Golpe de Crescendo"
tech_fortissimo_crash,"Estrellido Fortissimo"
tech_requiem,"Réquiem"
tech_overture,"Obertura"

# Upgrades
upgrade_vitality_1,"Vitalidad I"
upgrade_vitality_1_desc,"Aumenta VIT máxima en 20"
upgrade_vitality_1_comment,"Un corazón más fuerte late más tiempo"
upgrade_vitality_2,"Vitalidad II"
upgrade_vitality_2_desc,"Aumenta VIT máxima en 30"
upgrade_vitality_2_comment,"Resistencia refinada"
upgrade_brio_1,"Brío I"
upgrade_brio_1_desc,"Aumenta BRÍO máximo en 20"
upgrade_brio_1_comment,"Reservas más profundas de ritmo"
upgrade_brio_2,"Brío II"
upgrade_brio_2_desc,"Aumenta BRÍO máximo en 30"
upgrade_brio_2_comment,"Improvisación sin límites"
upgrade_attack_1,"Ataque I"
upgrade_attack_1_desc,"Aumenta ataque base en 5"
upgrade_attack_1_comment,"Golpes más afilados"
upgrade_attack_2,"Ataque II"
upgrade_attack_2_desc,"Aumenta ataque base en 10"
upgrade_attack_2_comment,"Crescendos devastadores"
upgrade_defense_1,"Defensa I"
upgrade_defense_1_desc,"Reduce daño recibido en 10%"
upgrade_defense_1_comment,"Una fortaleza de silencio"
upgrade_item_find,"Oído Agudo"
upgrade_item_find_desc,"Aumenta tasa de objetos en 15%"
upgrade_item_find_comment,"Oye el botín antes de que caiga"
upgrade_input_window,"Precisión Rítmica"
upgrade_input_window_desc,"Aumenta ventana de tiempo en 25ms"
upgrade_input_window_comment,"Tiempos más generosos"
upgrade_bits_reward,"Bis Dorado"
upgrade_bits_reward_desc,"Aumenta Bits ganados en 10%"
upgrade_bits_reward_comment,"El público lanza más monedas"

# Enemies
enemy_dissonant,"Disonante"
enemy_cacofonia,"Cacofonía"
enemy_maelstrom,"Maelstrom"
enemy_conductor,"El Director"

# Shops
shop_welcome_1,"Bienvenido, viajero. El ritmo guía todo comercio aquí."
shop_farewell_1,"Que tus pasos se mantengan en el compás."
shop_welcome_2,"¡Ah, una cara nueva! Déjame mostrarte mercancía que canta."
shop_farewell_2,"Regresa cuando la melodía te llame."
shop_welcome_3,"Solo lo mejor para quienes han llegado tan lejos."
shop_farewell_3,"El movimiento final se acerca."

# Misc
misc_bits,"Bits"
misc_vit,"VIT"
misc_brio,"BRÍO"
misc_level,"Nivel"
misc_floor,"Planta"
misc_turn,"Turno"
misc_hp,"PS"
misc_unknown,"???"
misc_coming_soon,"Próximamente..."
misc_press_any_key,"Pulsa cualquier tecla para continuar"
misc_loading,"Cargando..."
misc_saving,"Guardando..."
misc_error_save_failed,"Error al guardar la partida"
misc_error_load_failed,"Error al cargar la partida"
