keys,en
shop_farewell,"Come back anytime!"
shop_buy,"Buy"
shop_sell,"Sell"
shop_cannot_afford,"Not enough Bits!"
shop_inventory_full,"Inventory full!"
shop_confirm_purchase,"Buy %s for %d Bits?"
shop_items,"Items"
shop_techniques,"Techniques"
shop_upgrades,"Upgrades"
shop_bits_label,"Bits: %d"

# Items
item_type_rhythm,"Rhythm"
item_type_vit,"Vitality"
item_type_brio,"Brio"
item_use,"Use"
item_discard,"Discard"
item_description_separator," — "

# Techniques
technique_type_rhythm,"Rhythm"
technique_type_attack,"Attack"
technique_type_multi_attack,"Multi-Attack"
technique_type_heal,"Heal"
technique_inputs_label,"Inputs: "

# Upgrades
upgrade_type_max_vit,"Max Vitality"
upgrade_type_max_brio,"Max Brio"
upgrade_type_attack,"Attack Power"
upgrade_type_defense,"Defense"
upgrade_type_item_drop_rate,"Item Drop Rate"
upgrade_type_input_window,"Input Window"
upgrade_type_bits_reward,"Bits Reward"
upgrade_purchase_confirm,"Purchase %s for %d Bits?"
upgrade_already_owned,"Already owned"

# Enemies
enemy_shronk,"Shronk"
enemy_pomaphus,"Pomaphus"
enemy_lumino,"Lumino"
enemy_ancient_pomaphus,"Ancient Pomaphus"

# Game Over / Victory
game_over_title,"Game Over"
game_over_retry,"Retry"
game_over_quit,"Quit to Menu"
victory_title,"Floor Cleared!"
victory_rewards,"Rewards Obtained:"
victory_bits_gained,"Bits gained: %d"
victory_item_found,"Found: %s"
victory_technique_learned,"Learned technique: %s"
victory_upgrade_gained,"Gained upgrade: %s"
victory_continue,"Continue"

# Pause Menu
pause_title,"Paused"
pause_resume,"Resume"
pause_settings,"Settings"
pause_quit,"Quit to Menu"
pause_abandon_run,"Abandon Run"

# Accessibility / Hints
hint_rhythm_gameplay,"Press buttons in time with the music to maximize effectiveness."
hint_dodge_gameplay,"Switch lanes to dodge enemy projectiles on the beat."
hint_brio_system,"Brio powers techniques. Build it by attacking on rhythm."
hint_map_navigation,"Choose your path carefully. Not all nodes connect."
hint_color_palettes,"Unlock color palettes by achieving milestones."

# Items
item_metronome,"Metronome"
item_metronome_desc,"Improves timing window slightly"
item_metronome_comment,"A steady click keeps the rhythm true"
item_tuning_fork,"Tuning Fork"
item_tuning_fork_desc,"Significantly improves timing window"
item_tuning_fork_comment,"Resonates with the music of combat"
item_rhythm_potion,"Rhythm Potion"
item_rhythm_potion_desc,"Greatly improves timing window"
item_rhythm_potion_comment,"Liquid tempo in a bottle"
item_small_vit,"Small VIT Potion"
item_small_vit_desc,"Restores 25 VIT"
item_small_vit_comment,"A sip of vitality"
item_medium_vit,"Medium VIT Potion"
item_medium_vit_desc,"Restores 50 VIT"
item_medium_vit_comment,"A hearty draught"
item_large_vit,"Large VIT Potion"
item_large_vit_desc,"Restores 100 VIT"
item_large_vit_comment,"Overflowing with life"
item_full_vit,"Full VIT Elixir"
item_full_vit_desc,"Restores all VIT"
item_full_vit_comment,"The ultimate restorative"
item_small_brio,"Small BRIO Tonic"
item_small_brio_desc,"Restores 20 BRIO"
item_small_brio_comment,"A spark of inspiration"
item_medium_brio,"Medium BRIO Tonic"
item_medium_brio_desc,"Restores 50 BRIO"
item_medium_brio_comment,"Flowing with rhythm"
item_large_brio,"Large BRIO Tonic"
item_large_brio_desc,"Restores 100 BRIO"
item_large_brio_comment,"A crescendo in a vial"
item_brio_elixir,"BRIO Elixir"
item_brio_elixir_desc,"Restores all BRIO"
item_brio_elixir_comment,"Infinite improvisation"
item_symphony_draught,"Symphony Draught"
item_symphony_draught_desc,"Greatly improves timing and restores 50 BRIO"
item_symphony_draught_comment,"Harmony distilled"
item_crescendo_tonic,"Crescendo Tonic"
item_crescendo_tonic_desc,"Restores 150 VIT and 50 BRIO"
item_crescendo_tonic_comment,"Building to a climax"
item_fortissimo_essence,"Fortissimo Essence"
item_fortissimo_essence_desc,"Restores 50 VIT and 150 BRIO"
item_fortissimo_essence_comment,"Loud and proud"
item_maestro_elixir,"Maestro's Elixir"
item_maestro_elixir_desc,"Perfect timing window and restores all VIT and BRIO"
item_maestro_elixir_comment,"The conductor's secret"

# Techniques
tech_rhythmic_strike,"Rhythmic Strike"
tech_syncopated_slash,"Syncopated Slash"
tech_double_beat,"Double Beat"
tech_triplet_assault,"Triplet Assault"
tech_healing_chorus,"Healing Chorus"
tech_vital_hymn,"Vital Hymn"
tech_perfect_tempo,"Perfect Tempo"
tech_offbeat_parry,"Offbeat Parry"
tech_crescendo_strike,"Crescendo Strike"
tech_fortissimo_crash,"Fortissimo Crash"
tech_requiem,"Requiem"
tech_overture,"Overture"

# Upgrades
upgrade_vitality_1,"Vitality I"
upgrade_vitality_1_desc,"Increases max VIT by 20"
upgrade_vitality_1_comment,"A stronger heart beats longer"
upgrade_vitality_2,"Vitality II"
upgrade_vitality_2_desc,"Increases max VIT by 30"
upgrade_vitality_2_comment,"Endurance refined"
upgrade_brio_1,"Brio I"
upgrade_brio_1_desc,"Increases max BRIO by 20"
upgrade_brio_1_comment,"Deeper reserves of rhythm"
upgrade_brio_2,"Brio II"
upgrade_brio_2_desc,"Increases max BRIO by 30"
upgrade_brio_2_comment,"Boundless improvisation"
upgrade_attack_1,"Attack I"
upgrade_attack_1_desc,"Increases base attack by 5"
upgrade_attack_1_comment,"Sharper strikes"
upgrade_attack_2,"Attack II"
upgrade_attack_2_desc,"Increases base attack by 10"
upgrade_attack_2_comment,"Devastating crescendos"
upgrade_defense_1,"Defense I"
upgrade_defense_1_desc,"Reduces damage taken by 10%"
upgrade_defense_1_comment,"A fortress of silence"
upgrade_item_find,"Keen Ear"
upgrade_item_find_desc,"Increases item drop rate by 15%"
upgrade_item_find_comment,"Hear the loot before it falls"
upgrade_input_window,"Rhythmic Precision"
upgrade_input_window_desc,"Increases timing window by 25ms"
upgrade_input_window_comment,"More forgiving beats"
upgrade_bits_reward,"Golden Encore"
upgrade_bits_reward_desc,"Increases Bits gained by 10%"
upgrade_bits_reward_comment,"The audience throws more coins"

# Enemies
enemy_dissonant,"Dissonant"
enemy_cacophony,"Cacophony"
enemy_maelstrom,"Maelstrom"
enemy_conductor,"The Conductor"

# Shops
shop_welcome_1,"Welcome, traveler. The rhythm guides all commerce here."
shop_farewell_1,"May your steps stay on beat."
shop_welcome_2,"Ah, a new face! Let me show you wares that sing."
shop_farewell_2,"Return when the melody calls."
shop_welcome_3,"Only the finest for those who've come this far."
shop_farewell_3,"The final movement approaches."

# Misc
misc_bits,"Bits"
misc_vit,"VIT"
misc_brio,"BRIO"
misc_level,"Level"
misc_floor,"Floor"
misc_turn,"Turn"
misc_hp,"HP"
misc_unknown,"???"
misc_coming_soon,"Coming Soon..."
misc_press_any_key,"Press any key to continue"
misc_loading,"Loading..."
misc_saving,"Saving..."
misc_error_save_failed,"Failed to save game"
misc_error_load_failed,"Failed to load game"
